Elevation (ft),Storage (ac-ft),Elevation (ft),Storage (ac-ft)
1223.21,19910,1223.21,19910
1223.24,20010,1223.24,20010
1223.25,20040,1223.25,20040
1223.26,20070,1223.26,20070
1223.27,20100,1223.27,20100
1223.31,20230,1223.31,20230
1223.32,20270,1223.32,20270
1223.33,20300,1223.33,20300
1223.34,20330,1223.34,20330
1223.35,20360,1223.35,20360
1223.36,20400,1223.36,20400
1223.37,20430,1223.37,20430
1223.38,20460,1223.38,20460
1223.39,20490,1223.39,20490
1223.4,20530,1223.4,20530
1223.41,20560,1223.41,20560
1223.42,20590,1223.42,20590
1223.43,20620,1223.43,20620
1223.44,20660,1223.44,20660
1223.45,20690,1223.45,20690
1223.46,20720,1223.46,20720
1223.47,20750,1223.47,20750
1223.48,20790,1223.48,20790
1223.49,20820,1223.49,20820
1223.5,20850,1223.5,20850
1223.51,20880,1223.51,20880
1223.52,20920,1223.52,20920
1223.53,20950,1223.53,20950
1223.54,20980,1223.54,20980
1223.56,21050,1223.56,21050
1223.57,21080,1223.57,21080
1223.58,21110,1223.58,21110
1223.6,21180,1223.6,21180
1223.61,21210,1223.61,21210
1223.62,21240,1223.62,21240
1223.63,21270,1223.63,21270
1223.64,21310,1223.64,21310
1223.65,21340,1223.65,21340
1223.66,21370,1223.66,21370
1223.67,21400,1223.67,21400
1223.68,21440,1223.68,21440
1223.69,21470,1223.69,21470
1223.7,21500,1223.7,21500
1223.71,21530,1223.71,21530
1223.72,21570,1223.72,21570
1223.73,21600,1223.73,21600
1223.74,21630,1223.74,21630
1223.75,21660,1223.75,21660
1223.76,21700,1223.76,21700
1223.77,21730,1223.77,21730
1223.79,21800,1223.79,21800
1223.8,21830,1223.8,21830
1223.81,21860,1223.81,21860
1223.82,21890,1223.82,21890
1223.83,21930,1223.83,21930
1223.84,21960,1223.84,21960
1223.86,22020,1223.86,22020
1223.87,22060,1223.87,22060
1223.88,22090,1223.88,22090
1223.9,22150,1223.9,22150
1223.91,22190,1223.91,22190
1223.92,22220,1223.92,22220
1223.93,22250,1223.93,22250
1223.94,22280,1223.94,22280
1223.95,22320,1223.95,22320
1223.96,22350,1223.96,22350
1223.97,22380,1223.97,22380
1223.98,22410,1223.98,22410
1223.99,22450,1223.99,22450
1224,22480,1224,22480
1224.01,22510,1224.01,22510
1224.02,22540,1224.02,22540
1224.03,22580,1224.03,22580
1224.05,22640,1224.05,22640
1224.06,22670,1224.06,22670
1224.07,22710,1224.07,22710
1224.08,22740,1224.08,22740
