Elevation (ft),Storage (ac-ft),Elevation (ft),Storage (ac-ft)
1337.9,43470,1337.9,43470
1338,43500,1338,43500
1338.1,43670,1338.1,43670
1338.2,43860,1338.2,43860
1338.3,44070,1338.3,44070
1338.4,44250,1338.4,44250
1338.5,44460,1338.5,44460
1338.6,44630,1338.6,44630
1338.7,44800,1338.7,44800
1338.8,44980,1338.8,44980
1338.9,45210,1338.9,45210
1339,45380,1339,45380
1339.1,45570,1339.1,45570
1339.2,45730,1339.2,45730
1339.3,45940,1339.3,45940
1339.4,46130,1339.4,46130
1339.5,46320,1339.5,46320
1339.6,46480,1339.6,46480
1339.7,46670,1339.7,46670
1339.8,46860,1339.8,46860
1339.9,47070,1339.9,47070
1340,47240,1340,47240
1340.1,47440,1340.1,47440
1340.2,47660,1340.2,47660
1340.3,47890,1340.3,47890
1340.4,48120,1340.4,48120
1340.5,48324,1340.5,48324
1340.6,48540,1340.6,48540
1340.7,48760,1340.7,48760
1340.8,48980,1340.8,48980
1340.9,49206,1340.9,49206
1341,49440,1341,49440
1341.1,49640,1341.1,49640
1341.2,49860,1341.2,49860
1341.3,50100,1341.3,50100
1341.4,50320,1341.4,50320
1341.5,50550,1341.5,50550
1341.6,50740,1341.6,50740
1341.7,50960,1341.7,50960
1341.8,51180,1341.8,51180
1341.9,51420,1341.9,51420
1342,51640,1342,51640
1342.1,51840,1342.1,51840
1342.2,52060,1342.2,52060
1342.3,52300,1342.3,52300
1342.4,52520,1342.4,52520
1342.5,52740,1342.5,52740
1342.6,52940,1342.6,52940
1342.7,53160,1342.7,53160
1342.8,53380,1342.8,53380
1342.9,53610,1342.9,53610
1343,53840,1343,53840
1343.1,54040,1343.1,54040
1343.2,54260,1343.2,54260
1343.3,54500,1343.3,54500
1343.4,54720,1343.4,54720
1343.5,54940,1343.5,54940
1343.6,55140,1343.6,55140
1343.7,55360,1343.7,55360
1343.8,55580,1343.8,55580
1343.9,55803,1343.9,55803
1344,56040,1344,56040
1344.1,56240,1344.1,56240
1344.2,56460,1344.2,56460
1344.3,56700,1344.3,56700
1344.4,56920,1344.4,56920
1344.5,57140,1344.5,57140
1344.6,57340,1344.6,57340
1344.7,57560,1344.7,57560
1345,58408,1345,58408
1345.3,58930,1345.3,58930
1345.5,59410,1345.5,59410
1345.9,60510,1345.9,60510
1346,60700,1346,60700
1346.1,60750,1346.1,60750
1346.2,60980,1346.2,60980
1346.3,61250,1346.3,61250
1346.4,61547,1346.4,61547
1346.5,61695,1346.5,61695
1346.6,61990,1346.6,61990
1346.7,62140,1346.7,62140
1346.8,62437,1346.8,62437
1346.9,62733,1346.9,62733
1347,62882,1347,62882
1347.1,63178,1347.1,63178
1347.2,63327,1347.2,63327
1347.3,63623,1347.3,63623
1347.4,63772,1347.4,63772
1347.5,64068,1347.5,64068
1347.6,64217,1347.6,64217
1347.7,64513,1347.7,64513
1347.8,64810,1347.8,64810
1347.9,64958,1347.9,64958
1348,65255,1348,65255
1348.1,65403,1348.1,65403
1348.2,65700,1348.2,65700
1348.3,65996.99999999959,1348.3,65997
1348.3999999999999,66293.99999999919,1348.4,66294
1348.4999999999998,66590.99999999878,1348.5,66591
1348.5999999999997,66887.99999999837,1348.6,66888
1348.6999999999996,67184.99999999796,1348.7,67185
1348.7999999999995,67481.99999999756,1348.8,67482
1348.8999999999994,67778.99999999715,1348.9,67779
1348.9999999999993,68075.99999999674,1349,68076
1349.0999999999992,68372.99999999633,1349.1,68373
1349.1999999999991,68669.99999999593,1349.2,68670
1349.299999999999,68966.99999999552,1349.3,68967
1349.399999999999,69263.99999999511,1349.4,69264
1349.4999999999989,69561,1349.5,69561
1349.5999999999988,69858,1349.6,69858
1349.6999999999987,70154.99999999389,1349.7,70155
1349.7999999999986,70451.99999999348,1349.8,70452
1349.8999999999985,70748.99999999307,1349.9,70749
1349.9999999999984,71045.99999999267,1350,71046
1350.0999999999983,71342.99999999226,1350.1,71343
1350.1999999999982,71639.99999999185,1350.2,71640
1350.2999999999981,71936.99999999144,1350.3,71937
1350.399999999998,72233.99999999104,1350.4,72234
1350.499999999998,72530.99999999063,1350.5,72531
1350.5999999999979,72827.99999999022,1350.6,72828
1350.6999999999978,73124.99999998981,1350.7,73125
1350.7999999999977,73422,1350.8,73422
1350.8999999999976,73719,1350.9,73719
1350.9999999999975,74015.99999998859,1351,74016
1351.0999999999974,74312.99999998818,1351.1,74313
1351.1999999999973,74609.99999998778,1351.2,74610
1351.2999999999972,74906.99999998737,1351.3,74907
1351.3999999999971,75203.99999998696,1351.4,75204
1351.499999999997,75500.99999998655,1351.5,75501
1351.599999999997,75797.99999998615,1351.6,75798
1351.6999999999969,76094.99999998574,1351.7,76095
1351.7999999999968,76391.99999998533,1351.8,76392
1351.8999999999967,76688.99999998492,1351.9,76689
1351.9999999999966,76985.99999998452,1352,76986
1352.0999999999965,77282.99999998411,1352.1,77283
1352.1999999999964,77580,1352.2,77580
1352.2999999999963,77877,1352.3,77877
1352.3999999999962,78173.99999998289,1352.4,78174
1352.4999999999961,78470.99999998248,1352.5,78471
1352.599999999996,78767.99999998207,1352.6,78768
1352.699999999996,79064.99999998166,1352.7,79065
1352.7999999999959,79361.99999998126,1352.8,79362
1352.8999999999958,79658.99999998085,1352.9,79659
1352.9999999999957,79955.99999998044,1353,79956
1353.0999999999956,80252.99999998003,1353.1,80253
1353.1999999999955,80549.99999997963,1353.2,80550
1353.2999999999954,80846.99999997922,1353.3,80847
1353.3999999999953,81143.99999997881,1353.4,81144
1353.4999999999952,81441,1353.5,81441
1353.5999999999951,81738,1353.6,81738
1353.699999999995,82034.99999997759,1353.7,82035
1353.799999999995,82331.99999997718,1353.8,82332
1353.8999999999949,82628.99999997678,1353.9,82629
1353.9999999999948,82925.99999997637,1354,82926
1354.0999999999947,83222.99999997596,1354.1,83223
1354.1999999999946,83519.99999997555,1354.2,83520
1354.2999999999945,83816.99999997515,1354.3,83817
1354.3999999999944,84113.99999997474,1354.4,84114
1354.4999999999943,84410.99999997433,1354.5,84411
1354.5999999999942,84707.99999997392,1354.6,84708
1354.6999999999941,85004.99999997352,1354.7,85005
1354.799999999994,85301.99999997311,1354.8,85302
1354.899999999994,85599,1354.9,85599
1354.9999999999939,85896,1355,85896
1355.0999999999938,86192.99999997189,1355.1,86193
1355.1999999999937,86489.99999997148,1355.2,86490
1355.2999999999936,86786.99999997107,1355.3,86787
1355.3999999999935,87083.99999997066,1355.4,87084
1355.4999999999934,87380.99999997026,1355.5,87381
1355.5999999999933,87677.99999996985,1355.6,87678
