Storage (ac-ft),Q (CFS)
43470,0
54940,321.91
55140,649.04
55360,654.01
55580,988.73
55803,1318.72
56460,1359.06
56920,1579.44
57340,1819.5
57560,2051.41
58408,2894.28
58930,3605
59410,4310.03
60510,5678.26
60700,5911.92
60750,6151.58
60980,6392.13
61250,6627.48
61547,7112.44
61695,7349.42
61990,7593.82
62140,7839.06
62437,8089.32
62733,8559.47
62882,8786.42
63178,9034.67
63327,9293.1
63623,9538.43
63772,10026.33
64068,10283.54
64217,10536.57
64513,11304.43
64810,12176.71
64958,13841.3
65255,14619.91
65403,15443
65700,15415.79
66294,19650.63
67779,23375.95
78174,33012.25
